"creationDate","criticName","criticPageUrl","reviewState","isFresh","isRotten","isRtUrl","isTopCritic","publicationUrl","publicationName","reviewUrl","quote","reviewId","scoreSentiment","originalScore","movieId"
"1995-11-22","","","fresh",True,False,False,True,"/critics/source/150","Entertainment Weekly","http://www.ew.com/ew/article/0,,299671,00.html","I can hardly imagine having more fun at the movies than I did at Toy Story, the miraculous new Disney feature that's the first full-length animated film to be produced entirely on computer.",1906042,"POSITIVE","A","48f742e7-d657-38bc-ad26-ff9e52e79073"
"1995-11-22","Roger Moore","/critics/roger-moore","fresh",True,False,False,True,"/critics/source/498","Orlando Sentinel","http://www.orlandosentinel.com/entertainment/movies/orl-movie-review-toy-story-toy-story-2-3d,0,4640680.story","The great voice acting, the visual puns, all added up to an animation game changer.",1906044,"POSITIVE","5/5","48f742e7-d657-38bc-ad26-ff9e52e79073"
"1995-11-22","Jim Lane","/critics/jim-lane","fresh",True,False,False,False,"/critics/source/599","Sacramento News & Review","http://www.newsreview.com/sacramento/content?oid=1284500","Thanks to Pixar's inherent wit, story sense and unerring ear for voice casting, its original charm and delight are intact.",1906045,"POSITIVE","4/5","48f742e7-d657-38bc-ad26-ff9e52e79073"
"1999-11-24","Joe Lozito","/critics/joe-lozito","fresh",True,False,False,False,"/critics/source/1878","Big Picture Big Sound","http://www.bigpicturebigsound.com/Toy_Story_2_416.shtml","The Godfather of animated films.",1896344,"POSITIVE","3.5/4","6bacd7ec-76c9-3f40-b69a-cde708c3ac01"
"2000-01-01","Janet Maslin","/critics/janet-maslin","fresh",True,False,"",True,"/critics/source/337","New York Times","","The best ant colony movie of the year!",100228,"POSITIVE","4/5","4787f420-1a8d-39a3-b57b-d8c7bb11796b"
"2000-01-01","James Berardinelli","/critics/james-berardinelli","fresh",True,False,False,False,"/critics/source/387","ReelViews","http://www.reelviews.net/php_review_template.php?identifier=149","A Bug's Life, like Toy Story, develops protagonists we can root for, and places them in the midst of a fast-moving, energetic adventure.",100230,"POSITIVE","3.5/4","4787f420-1a8d-39a3-b57b-d8c7bb11796b"
"2000-01-01","Janelle Brown","/critics/janelle-brown","fresh",True,False,False,True,"/critics/source/400","Salon.com","http://www.salon.com/ent/movies/reviews/1998/11/25reviewa.html","More than anything, it just looks incredible. It's impossible not to be utterly blown away by Pixar's animation.",100231,"POSITIVE","","4787f420-1a8d-39a3-b57b-d8c7bb11796b"
"2000-01-01","Roger Ebert","/critics/roger-ebert","fresh",True,False,False,True,"/critics/source/67","Chicago Sun-Times","http://www.rogerebert.com/reviews/a-bugs-life-1998","I enjoyed the use of animation to visualize a world that could not be seen in live action and could not be created with special effects.",100232,"POSITIVE","3.5/4","4787f420-1a8d-39a3-b57b-d8c7bb11796b"
"2000-01-01","Peter Brunette","/critics/peter-brunette","fresh",True,False,"",True,"/critics/source/176","Film.com","","Entertaining and Enchanting!",100234,"POSITIVE","","4787f420-1a8d-39a3-b57b-d8c7bb11796b"
"2000-01-01","","","fresh",True,False,False,False,"/critics/source/137","E! Online","http://www.eonline.com/Reviews/Movies/Leaves/0,20,890,00.html","Superior animation, heartwarming characters and hilarious comedy bits.",100238,"POSITIVE","","4787f420-1a8d-39a3-b57b-d8c7bb11796b"
"2000-01-01","Jim Judy","/critics/jim-judy","fresh",True,False,False,False,"/critics/source/411","Screen It!","http://www.screenit.com/movies/1998/a_bugs_life.html","An absolute delight!",100261,"POSITIVE","","4787f420-1a8d-39a3-b57b-d8c7bb11796b"
"2000-01-01","Amy Taubin","/critics/amy-taubin","fresh",True,False,"",True,"/critics/source/472","Village Voice","","The little kids' version of Antz: sweeter, funnier, simpler to follow.",100263,"POSITIVE","","4787f420-1a8d-39a3-b57b-d8c7bb11796b"
"2000-01-01","Kim Newman","/critics/kim-newman","fresh",True,False,False,True,"/critics/source/148","Empire Magazine","http://www.empireonline.com/reviews/review.asp?FID=132433","Though not as deep, philosophical or vocally star-studded as Antz, Pixar's insect nation is every bit as eye-popping, and kids who don't love it are very likely to become zealous members of some future Trenchcoat Mafia.",100277,"POSITIVE","4/5","4787f420-1a8d-39a3-b57b-d8c7bb11796b"
"2000-01-01","Jack Garner","/critics/jack-garner","fresh",True,False,False,False,"/critics/source/394","Rochester Democrat and Chronicle","http://www.RochesterGoesOut.COM/mov/b/abugsl.html","A high-tech, cartoonish romp!",100283,"POSITIVE","8/10","4787f420-1a8d-39a3-b57b-d8c7bb11796b"
"2000-01-01","Madeleine Williams","/critics/madeleine-williams","fresh",True,False,False,False,"/critics/source/79","Cinematter","http://www.cinematter.com/movie.php3?bugs","It lacks some of the [Antz's] sophisticated humor, but more than makes up for it with its rich animation and endearing characters.",100284,"POSITIVE","3.5/4","4787f420-1a8d-39a3-b57b-d8c7bb11796b"
